date	ur	pi_gr	nyse_gr	tb_sqrt_diff	ics_log_diff	pce_gr_diff	perc_pos_rev_weighted	perc_neg_rev_weighted	perc_uncert_rev_weighted	perc_litig_rev_weighted	perc_modal_wk_rev_weighted	perc_modal_mod_rev_weighted	perc_constrain_rev_weighted	perc_modal_str_rev_weighted_diff
2014-11-01	5.8	0.003653199	0.010180743	0	0.021628618	-0.001156112	2.215389993	1.012466063	0.864366024	0.131728681	0.359091386	0.632209572	0.090577883	0.033307403
2014-12-01	5.6	0.004509022	-0.010603887	0.031783725	0.052643733	-0.001482574	2.170032965	1.025175934	0.850980092	0.132659726	0.363685482	0.607885936	0.094318439	0.014903859
2015-01-01	5.7	0.0011936	-0.027070218	0	0.046956983	-0.001390981	2.11202873	1.040339249	0.800374951	0.085668535	0.367282154	0.539720356	0.107587424	-0.050697746
2015-02-01	5.5	0.004804956	0.049877513	-0.031783725	-0.027908788	0.003533165	2.102679625	1.013644054	0.79207432	0.082350096	0.355940432	0.553542775	0.105434746	-0.002302073
2015-03-01	5.5	4.41E-05	-0.014788277	0.031783725	-0.025479085	0.003260115	2.202358038	0.991395879	0.834183795	0.08282094	0.372503482	0.553577989	0.105214959	-0.034346444
2015-04-01	5.4	-0.000227226	0.008102021	-0.031783725	0.030706489	-0.0090116	2.223639921	1.009423599	0.844877797	0.074538852	0.35222433	0.570828216	0.095396289	-0.021756245
2015-05-01	5.5	0.005860747	0.000593641	0	-0.055748625	0.008822995	2.232161872	1.017223563	0.846381831	0.076260801	0.348528288	0.549745209	0.087011336	-0.027705906
2015-06-01	5.3	0.004619089	-0.022710999	0	0.057831959	-0.002816469	2.267354499	0.970361849	0.840815698	0.079481057	0.332214939	0.583767695	0.096239311	0.039195785
2015-07-01	5.2	0.000413028	0.003502383	0.031783725	-0.031715132	-0.003069409	2.307479998	0.936999152	0.8135627	0.096214464	0.334085681	0.596014131	0.087763715	0.037520312
2015-08-01	5.1	0.003353406	-0.064855917	0.09137005	-0.012973155	0.002916758	2.266897932	0.946770591	0.803293705	0.107384497	0.330519114	0.609409782	0.093879009	-0.000282179
2015-09-01	5	0.000388126	-0.037027423	-0.123153775	-0.052496698	-0.003220962	2.271995118	0.960643263	0.828076432	0.12069453	0.331986171	0.567221995	0.096749011	-0.026353367
2015-10-01	5	0.000143122	0.067194346	0	0.031605339	0.001710146	2.265071119	0.95330822	0.812151377	0.114032338	0.346486218	0.585880741	0.07838882	-0.029636081
2015-11-01	5	-0.001098815	-0.004910651	0.204988805	0.014341117	0.001125055	2.214852594	0.971216723	0.831990125	0.126182082	0.344864549	0.559279652	0.079455884	-0.011842915
2015-12-01	5	0.002408548	-0.025569684	0.133172991	0.014138354	-0.001212287	2.228424229	0.997417331	0.83307241	0.124710018	0.351744357	0.554571658	0.08229022	0.018811316
2016-01-01	4.9	0.005852973	-0.049536296	0.030318799	-0.006500565	0.000382099	2.22364963	1.04413021	0.790799646	0.09450496	0.344122401	0.560665318	0.09257141	-0.049276195
2016-02-01	4.9	0.000242651	-0.007595993	0.046874485	-0.003266198	0.003531555	2.164492774	1.042023756	0.79923246	0.087032877	0.351175828	0.594765042	0.084859442	0.015361271
2016-03-01	5	0.002682783	0.067769004	-0.018259956	-0.007662873	-0.00567082	2.133315308	1.046970431	0.798180536	0.083986614	0.354444829	0.584096167	0.081473995	-0.039876099
