month_date	ur	pi_gr	nyse_gr	tb_sqrt_diff	ics_log_diff	pce_gr_diff	num_words	perc_pos	perc_neg	perc_uncert	perc_litig	perc_modal_wk	perc_modal_wod	perc_modal_str	perc_constrain	num_alphanum	num_digits	num_nums	avg_syll_word	avg_word_len	vocab	num_words_rev_weighted	perc_pos_rev_weighted	perc_neg_rev_weighted	perc_uncert_rev_weighted	perc_litig_rev_weighted	perc_modal_wk_rev_weighted	perc_modal_wod_rev_weighted	perc_modal_str_rev_weighted	perc_constrain_rev_weighted	num_alphanum_rev_weighted	num_digits_rev_weighted	num_nums_rev_weighted	avg_syll_word_rev_weighted	avg_word_len_rev_weighted	vocab_rev_weighted
6/1/13	7.5	0.003216724	-0.020379876	0.023606798	-0.004744967	-0.001346168	8117.297297	1.825746769	1.047352324	0.886541753	0.10293353	0.385254202	0.737945231	0.57537571	0.087020525	41093.10811	489.3783784	198.4864865	1.531488491	4.696561915	1294.135135	9290.226843	2.1408815	0.978440623	0.722320005	0.113952053	0.274354516	0.530597722	0.586705457	0.07073473	48209.75092	611.6386221	251.5566447	1.580026373	4.846824621	1449.399259
7/1/13	7.3	-0.004643068	0.04394577	-0.023606798	0.011820469	-0.004466464	8010.974359	1.860087093	0.998706107	0.881058172	0.102273217	0.379524699	0.695426529	0.553850053	0.093786053	40514.12821	466.4871795	190.7692308	1.534450026	4.705936495	1284.25641	9943.885981	2.270306684	0.9375127	0.75265479	0.096819971	0.307920979	0.534092938	0.493400921	0.074477853	51330.87478	627.9245	256.6850082	1.569908373	4.820472689	1484.760413
8/1/13	7.2	0.00371765	-0.030146987	0	-0.035889019	0.005191266	8114.230769	1.818256273	0.996776186	0.910427218	0.107603751	0.382071951	0.70210981	0.568145579	0.091258332	41023.41026	473.7692308	191.5641026	1.530810386	4.698333089	1294.512821	9872.294937	2.224913011	0.950460197	0.764478165	0.092116463	0.30344653	0.537382399	0.525682855	0.075152968	51082.32056	616.0644058	250.6060926	1.569424349	4.826161624	1492.422835
9/1/13	7.2	0.004452623	0.037816086	-0.058578644	-0.05766008	0.000450738	7709.75	1.838502527	1.030578171	0.927957816	0.118657257	0.390842176	0.689099733	0.569462708	0.097940262	39207.77778	455.4722222	182.8888889	1.537130641	4.718199558	1264.333333	10495.0426	2.570393449	1.183363774	1.020709288	0.091028122	0.434920143	0.700267668	0.681464923	0.082374468	54434.6794	666.9540438	265.9191014	1.898174694	5.813784934	1654.949428
10/1/13	7.2	-0.006844163	0.034290149	0.082185442	-0.057082515	-0.004543946	7903.375	1.826920743	1.033760731	0.958873201	0.108309148	0.424560161	0.69622727	0.583632829	0.087710181	40129.75	492.525	198.1	1.530610823	4.699469035	1285.225	9422.973016	1.95571313	1.056411054	0.847064789	0.09901501	0.352643705	0.594619079	0.627028439	0.110263836	48902.79074	690.4283906	275.4303108	1.566048494	4.818817919	1469.295084
11/1/13	6.9	0.00469137	0.017342365	0.040968333	0.025625138	0.007153318	7717.375	1.871809287	1.046260844	0.946823922	0.106321218	0.421971434	0.682428227	0.600548598	0.088641584	39292.025	483.775	193.9	1.534488124	4.709367651	1278.2	8925.830355	1.991042076	1.060434239	0.878831246	0.114561194	0.348788809	0.590493777	0.661157974	0.107652119	46522.00717	656.6609536	259.7559602	1.572942103	4.835802585	1454.719709
12/1/13	6.7	0.005104016	0.021318366	0	0.093977735	-0.003299429	7821.868421	1.906006071	1.025575837	0.930217165	0.097130052	0.429069159	0.684512693	0.600968282	0.083491252	39775.57895	481.5	193.9210526	1.532752151	4.702542202	1277.473684	9034.281668	2.014114617	1.036029011	0.887040214	0.104271067	0.359744463	0.576193168	0.680361657	0.112719032	47198.34105	676.3384344	269.3414106	1.577430452	4.847087266	1447.16189
1/1/14	6.6	0.003719717	-0.045122414	-0.064575131	-0.015883046	-0.006778389	8153.153846	1.922264373	1.008545521	0.896268586	0.089720837	0.407542217	0.694845446	0.67619497	0.089540619	41505.38462	534.5384615	205.3076923	1.532983447	4.704652224	1303.333333	10366.70632	2.082203772	1.082939919	0.872214432	0.087070146	0.342628313	0.584906835	0.722098474	0.11071704	54409.55124	921.9471995	353.2370958	1.582034915	4.853320382	1488.592548
2/1/14	6.7	0.007209906	0.045969706	0.023606798	0.004914015	0.008805257	8258.619048	1.876694259	1.002335727	0.897238643	0.102351483	0.402249214	0.691861186	0.688964421	0.09279503	41935.21429	566.1190476	214.1904762	1.530173019	4.704181485	1322.642857	10273.59968	2.129082812	1.057038434	0.815458501	0.10715873	0.316815601	0.605447474	0.736249472	0.118217972	53985.47203	922.3958251	350.6823311	1.579389498	4.854860596	1501.95218
3/1/14	6.7	0.008033715	0.009774654	0	-0.019802627	0.001975541	7747.727273	1.894600236	1.061922272	0.881221081	0.111137189	0.371512724	0.698389548	0.631163426	0.0902764	39520.97727	499.3636364	189.9545455	1.538195174	4.729535528	1279.477273	10004.39842	2.135516336	1.156519558	0.770503056	0.11024828	0.282897087	0.613912051	0.669967162	0.11518526	52812.3025	867.0496907	332.7858097	1.586738857	4.871623666	1477.418691
